Record ID,Date Published,Overall Rating,Passenger Country,Trip_verified,Comment title,Comment,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity
10,2023-12-06,8,Albania,Not Verified,“Crew extremely well presented”,"Krakow to Tirana with Ryanair's subsidiary, Buzz, on a brand new Boeing 737Max-200. Flight departed early and arrived before schedule. Crew extremely well presented and professional. Ryanair does not have the most comfortable seats, and leg room is not the best, however for a 1 hour 25 minute flight I do not have much complaints. If you follow their baggage rules and basic online check-in, you won't have any issues. While they are the low cost airline I fly least in comparison to WizzAir/easyJet, I would willingly fly them again if given the opportunity.",Boeing 737Max,Business,Economy Class,Krakow,Tirana,December 2023,3.0,5.0,,3.0,5.0,yes,,
11,2023-12-04,1,Singapore,Trip Verified,"""pay if you don’t check in online""","This airline charges you for almost every thing. Every child needs to be seated with an adult. Got it, it is for Safety. But you must pay for the seat selection of the accompanying adult so that you can choose the seat next to the child. Only allowed a bag pack to be carried on for free, ay other cabin bag you must pay. You pay if you don’t check in online. It’s €55 to check in at the airport. That’s more than twice of my ticket price. No room for any negotiation. By the way, even if the flight is delayed and you have time to do online check in for free, too bad, just pay.  They insisted that we have an email to inform us of this. Too bad if you ignored the email.",,Family Leisure,Economy Class,Porto,Barcelona,December 2023,1.0,1.0,,1.0,1.0,no,,
12,2023-12-04,3,Portugal,Trip Verified,“At least 5 passengers denied boarding”,At least 5 passengers denied boarding in Lisbon due to overbooking. In London Stansted the plane was 1:30 minutes late due to what seemed to be defrosting.,Boeing 737-800,Solo Leisure,Economy Class,Lisbon,Tirana via Stansted London,December 2023,3.0,2.0,1.0,2.0,3.0,no,1.0,1.0
13,2023-12-02,1,United Kingdom,Trip Verified,"""eight of the 10 flights had delays""","This is my tenth flight with Ryanair this year - and eight of the 10 flights had delays - usually between one and two hours, but we had more than three hours too! There is basically no way anymore that you can convincingly plan longer trips with them, for example a train journey after arrival, because you never know when you arrive. Today, we are loosing another train ticket that we bought ages ago in advance, when we still believed that some delays are exceptions to the rule, rather than the new rule. Even back then, we already calculated with a one and a half hour Ryanair delay, but that is just not good enough for that ""never on time airline"". To make things worse, according to EU law, they only have to pay compensation from a three hour delay, i.e. most delays go without any sanction, meaning a contribution from Ryanair for the additional expenses their customer have to pay. Long live neoliberalism? Add to that the non-existing Ryanair customer-sevice, which leaves you in the dark about new departure time, gate changes etc, and you have the worst package you can possibly buy. What can we customers do about it? At first, let us please stop buying drinks, food and other items on flights that come with more than half an hour delay. We should not reward such an airline for what they do to us. And then better check always the prices of competitors: Eurowings, EasyJet, Vuelin, Wizzair, anything that stays within a reasonable price for the package might be worth considering.",,Couple Leisure,Economy Class,Cologne Bonn,Stansted,December 2023,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
14,2023-11-21,1,Canada,Trip Verified,"""try to avoid it in the future""","We have a return flight from Gatwick to Alicante. The issue started with online check-in. The application has constantly faild. At the end we make the registration front London to Alicante it was takes a lot of time. Even with this registration we cannot get boarding pass and gave to go to the desk. On the way came back we tried to make check-in online but it always faild. We have to go to the desk and make the registration. The airport charges us 30 euro per person. I tried send my issue to the Ryanair compliance dept, but all of the answers was like "" Change device, you have to talk on the chat and etc"" Just wanna get back my check-in fee . Nothing, just feeling you talked to a wall. I have very bad experience with the company and will try to avoid it in the future.",,Couple Leisure,Economy Class,Alicante,Gatwick,November 2023,1.0,2.0,1.0,1.0,2.0,no,1.0,1.0
15,2023-11-07,9,United Kingdom,Not Verified,"""offers fares at great value"" ","Couldn’t find any reason to complain. Outbound flight on time, clean aircraft and Cabin Crew friendly and well presented. Great value for money. It was cheaper to fly to Dublin for the day on Ryanair rather than go to London from Bristol for the day by rail. Although the seats do not recline, I thought the leg room was fine. I have flown Ryanair several times over the years and have come to the conclusion that as long as you stick to the rules with regards checking in on line and adhere to luggage sizes, journeys are hassle free generally. Flight was late on the return leg but they emailed an apology before the dedicated check in time. That didn’t bother me personally. Their website is designed to capture more money related to seat allocation, earlier checkin, luggage upgrades, insurance, etc etc but they are optional and as long as you know what you want, there is no obligation to increase the price of your journey. I find their website and online check in very easy to use. I’m a pensioner and I’m grateful Ryanair offers fares at great value.",Boeing 737 800,Solo Leisure,Economy Class,Bristol,Dublin,November 2023,4.0,5.0,3.0,5.0,5.0,yes,,
16,2023-11-05,1,Portugal,Trip Verified,"""inside the freezing plane one more hour""","The duration of this flight is 1h and 20m but we stayed inside the freezing plane one more hour, allegedly not Ryanair's fault but Lisbon's airport. Eventually they turned on the heat when it took off but when approaching Madeira the coldness was back. As usual, dirty plane.",Boeing 737-800,Solo Leisure,Economy Class,Lisbon,Funchal,November 2023,4.0,3.0,,1.0,5.0,no,,
17,2023-11-02,9,United Kingdom,Not Verified,"""Play the game and you'll be fine""","Play the game and you'll be fine. Got a return flight from Leeds Bradford to Faro for £101. I booked 3 months ahead, didn't reserve a seat, and took only a small bag. Had my boarding pass both on my app, and in paper format (just in case). Took my own food and drink on the plane, didn't buy any of theirs, and didn't buy any of their duty free etc. It really does pay to do your research. At Leeds Bradford someone had lost their boarding pass (I think that cost them £60), while at Faro someone's cabin bag was too big. That had to go in the hold, and I expect that cost him. He said it was OK at Leeds, but maybe he got away with it there. My old bag would have been too big, but I checked Ryanair's website, and bought a new and conforming bag for £9.99. I'm 6 foot tall, and the leg room is tight, but just about OK for a 3 hour flight. The seats were uncomfortable though and needed more cushioning. The outward flight took off and arrived on time. The cabin crew were friendly and efficient. No hard sales pitch for food, drink, duty free. The announcements could have been clearer, but that was down to the Portuguese captain. The return flight was about an hour late taking off, due to delays experienced earlier in the day. This happens. Allow for it. They made up 20 minutes and the plane landed at Leeds Bradford 40 minutes behind schedule. Absolutely no complaints whatsoever and fantastic value for money. I'd reckon that the negative views on here are hugely in the minority. In some cases things have gone wrong, but in others part of the blame must be with the posters who haven't researched and prepared well.",,Solo Leisure,Economy Class,Leeds,Faro,October 2023,3.0,4.0,,4.0,5.0,yes,,
18,2023-10-28,5,Germany,Trip Verified,"""flying with Ryanair is a tiring thing""","Most importantly Ryanair took me from A to B, safe and in a new plane. However, often flying with Ryanair is a tiring thing. The boarding process can simply be a pain as between scanning your pass and effectively letting you on the plane they let passengers stand in line for long time, often in cramped places. Surely it is to assure everyone is there, can board quickly and enable the closing of the doors of the plane on time, but is quite a torture (many other airlines try to avoid such thing, probably with more differentiation of boarding groups). Furthermore, on this specific flight, the crew truly was a pain trying to sell all kind of “Duty Free” (non existing, as it was a domestic flight) items. The announcements took a full 10 minutes on a 60 min flight (sum it up with the safety instructions, buy on board of catering items, pilot’s message(s) etc), reading out all kind of “special offers” for more or less low ranking articles and was loud. Most “refined marketing action” was the seat belts sign to be turned on, for no reason whatsoever (quiet flying conditions), to assure proper sales of articles.",Boeing 737,Business,Economy Class,Venice,Naples,October 2023,4.0,2.0,2.0,1.0,3.0,no,,
19,2023-10-24,1,Spain,Not Verified,"""They give flights at good prices""","One of the biggest rip-off companies out there. They give flights at good prices, and then will find any possible way to charge you additional money an make your trip as expensive as possible. Want to cancel your reservation within 24h from the purchase? Not possible. Need some time to choose which luggage you'll need? Be ready to pay double price for that, right after the booking. Want to change your flight? Double price just for the fees. They are tracking everything you do in their app to show you higher prices wherever they can. Customer service replies but doesn't help at all. 100% shameful company.",,Solo Leisure,Economy Class,Valencia,Milan,September 2023,1.0,3.0,1.0,1.0,1.0,no,1.0,1.0
20,2023-10-23,10,Belarus,Trip Verified,"""Well done Ryanair"" ","Took four flights with Ryanair this autumn, Nuremberg to Thessaloniki return and Hahn to Vilnius return. Flawless job. All four flights were pleasantly uneventful, departure and arrival strictly on time (that was especially crucial for me because I needed to take a bus for a consequent journey and a late arrival could be an issue). Very quick check-in and boarding (almost no queues), I'm being amazed with such efficiency of processes again and again. And, of course, really cheap prices (especially to Vilnius, they are even cheaper than bus tickets for the same route, but even to a summer holidays destination which Thessaloniki is, the prices are much more affordable than the competitors' ones). I chose Ryanair many times this year and the company haven't given me any reason to be disappointed so far. Well done Ryanair!",Boeing 737-800,Solo Leisure,Economy Class,Frankfurt Hanh,Vilnius,September 2023,4.0,5.0,,5.0,5.0,yes,,
21,2023-10-21,10,Norway,Not Verified,"""delayed for more than 8 hours""","We were delayed for more than 8 hours at Oslo airport, Torp. We filed a complaint and Ryanair contacted me directly with this message and have now paid me more than EUR 500: ""7 Oct 2023, 05:51 GMT+1 Dear Nils Erik, Thank you for your reply. We sincerely regret the delay on your flight FR3278 from Oslo Torp to Gdansk on the 12/12/2022. We wish to confirm that a transfer for the sum of 5652.02 NOK (equivalent to 250 EUR per customer and 386 NOK for meal expenses) has been authorised by Ryanair in full and final settlement of your claim under EU261."" I am so satisfied with Ryanair for this.",,Couple Leisure,Economy Class,Oslo,Riga,December 2022,4.0,5.0,,4.0,5.0,yes,,
22,2023-10-18,2,Israel,Trip Verified,“some leniency should be given”,"Ryanair and we decided to book again for end of October. Unfortunately a war broke out in Israel and the whole world knows what is going on. I spoke to Ryanair Customer Service and explained that with the current situation with friends and family missing we can’t possibly go on vacation, and if under the circumstances we can exchange our dates. I was told that the flight has not been cancelled by the airline and therefore we are not eligible for a change or refund. I find this indifference quite appalling from the airline, as no one is cancelling for the sake of it, and under these circumstances some leniency should be given by the company.",,Couple Leisure,Economy Class,Tel Aviv,Paphos,April 2023,2.0,2.0,,1.0,2.0,no,,
23,2023-10-06,1,United States,Trip Verified,"""very unpleasant to deal with Ryanair""","I have booked this flight as a part of an itinerary which included various others flights with other airlines. As a last minute situation (unexpected severe health issue) presented itself I had to cancel the whole itinerary and wanted to possibly reschedule the Ryanair flight. To my surprise I was confronted with the unpleasant situation in which there were no reasonable options. For any suggestion I proposed the company had a countermeasure/policy which will not allow me to make a change or if so, at a prohibitive price to the point that it would have been better to simply buy a new ticket. At the end the only option left was to cancel with no refund. It was truly very unpleasant to deal with Ryanair.",,Couple Leisure,Economy Class,Bergamo,Kefalonia,September 2023,3.0,3.0,,1.0,1.0,no,,
24,2023-10-02,2,United States,Trip Verified,"""£165.00 as a penalty to get boarding passes""","I booked 3 flights through Expedia. I received no specific policy nor check in requirements regarding this flight from Expedia. I was at the airport on day of departure and had to pay £165.00 as a penalty to get boarding passes as I had not checked in online. I had no knowledge of this procedure, or fee. I had no choice but To pay this in order to fly with my sisters on this much anticipated vacation. I have repeatedly tried to speak with Ryanair to explain this gap in knowledge and unknown penalty fees.",,Family Leisure,Economy Class,Birmingham,Corfu,September 2023,2.0,3.0,,1.0,1.0,no,,
25,2023-09-25,1,Sweden,Trip Verified,"""pay a penalty fee for my identical bag""","I took a Ryanair flight three days ago from Copenhagen to Vienna without any problem. Today, I took the return flight. I was this time told I must pay a penalty fee for my identical bag. I told them I came three days ago with Ryanair, with the same bag. Ryanair’s staff did not believe me. I offered them the ticket as proof. They ignored it and shouted at me to ‘pay the fine or you cannot board the plane’. I then removed a large duvet cover from my bag, after which the bag fit into their standard model box. Still, they ignored it, and repeated: pay or be left behind. Upon request, they also refused to give me their names, or the name of their manager. I must now reconsider my future choices.",,Couple Leisure,Economy Class,Vienna,Copenhagen,September 2023,1.0,2.0,,1.0,1.0,no,,
26,2023-09-23,7,United Kingdom,Trip Verified,“this trip was pleasantly uneventful”,"People get quite angry about Ryanair, and I can well imagine that if something goes wrong you are really in trouble. But this trip was pleasantly uneventful. So long as you understand the baggage and other rules, and don't (for example) waste money on priority boarding, it can be fine. I paid for a seat at the front, and fast-track security at Stansted. The flights were both about half-an-hour late, but other than that I've no complaints. And there seem to be fewer annoying announcements on board these days.",Boeing 737-8200,Solo Leisure,Economy Class,London,La Rochelle,September 2023,3.0,3.0,2.0,3.0,4.0,yes,,
27,2023-09-21,1,United Kingdom,Trip Verified,"""let me queue up for 7 hours""","Horrible, avoid at all costs. 28.8.2023 they cancelled my flight, they let me queue up for 7 hours. Refused to pay for transport and accommodation until my next flight 2 days later.",,Solo Leisure,Economy Class,Stansted,Vasteras,August 2023,1.0,1.0,1.0,1.0,1.0,no,,
28,2023-09-21,8,Belgium,Trip Verified,"""had no issues with Ryanair so far""",Charleroi - Carcassonne return. Both flights landed on time or ahead of schedule. Outbound was with one of their newer B737 MAX planes which offers less engine noise which was nice. Crew on the outbound leg friendly and efficient. Front crew on the return leg looked not motivated and not over friendly overall. Beverage and meal service efficient as always with good selections at ok prices. We have had no issues with Ryanair so far and they are often the only choice for certain destinations if you want a direct flight out of Belgium like in this case. Would still recommend them!,Boeing 737-800,Family Leisure,Economy Class,Charleroi,Carcassonne,September 2023,3.0,3.0,5.0,4.0,5.0,yes,,
29,2023-09-19,2,Portugal,Not Verified,"""seating is appalling""","First time on 8022 and, although a nice aircraft and quieter than the 800, the seating is appalling. We were in row 26 and the pitch I measured at 27"" - the least I have ever had to suffer. My knees were literally bruised blue afterwards and I did not buy a meal because it would have been impossible to eat it. I also had to wear my reading spectacles to read the information on the seat in front. Flight was on time and crew pleasant.",B733-8022,Couple Leisure,Economy Class,East Midlands,Faro,September 2023,1.0,3.0,,3.0,3.0,no,,
30,2023-09-17,2,Iraq,Trip Verified,"""pay 55 Eur for each person for airport boarding""","I had a flight from Charleroi airport Brussels to Athens through Ryanair, and booking that flight was one of the worst decisions I have ever made. I asked the boarding representative to book two seats next to each other (regardless of the location) for my wife and I. The representatives answer was no, and he said I have to separate you as per Ryanair policy because this is a paid service even though we had multiple seats empty on the air craft. Once I arrived to the airport, Ryanair representative informed me that I had to pay 55 Eur for each person for airport boarding because the online boarding (the free one) gets locked 2 hours before the flight because they offer cheap flights prices.",,Couple Leisure,Economy Class,Brussel,Athens,September 2023,1.0,2.0,,1.0,1.0,no,,
31,2023-09-11,1,Portugal,Trip Verified,"""The experience was awful""",The experience was awful from the luggage check in to the boarding followed by an hour departure delayed. The wait before taking off in a 35 degree plane as the air conditioning was broken. Then we were told we will leave the gate in 7 minutes the translate to 30 minutes without any explanations. I will never spend a cent with this airlines. Incompetent rude ground and flight agents that will never see my money!,Boeing 737 800,Business,Economy Class,Lisbon,Stansted,September 2023,1.0,1.0,,1.0,1.0,no,,
32,2023-09-11,7,Portugal,Trip Verified,"""this goes way beyond what is reasonable""","Ryanair is now obliging passengers who buy airline tickets other than on its own website to go through a complex validation process that involves taking a photograph of their civil identification document (lots of attempts) and a photograph of the passenger's own face! The company always manages to do what it wants without obeying the rules of absolutely every other airline on the market. But I think this goes way beyond what is reasonable. The prices on Ryanair's website are always higher than in some online travel agencies. Very friendly, even charming crew.",Boeing 737-800,Solo Leisure,Economy Class,Lisbon,Madeira,September 2023,2.0,4.0,,1.0,5.0,yes,,
33,2023-09-11,1,Belgium,Not Verified,"""Ryanair is the worst possible experience""","We were three persons to fly and each paid more than € 100 for a singe-way ticket to Alicante, without paying extra to choose a seat. The checkin at the airport was based on the Ryanair app, which was confusing. Luckily a staff came to help us, verified everything and sent us towards the gates. At the gates it turned out that the flight was overbooked, there were 2 tickets more sold than there were actual seats on the plane, and because we didn't choose our seat we couldn't board the plane. We had to wait until the end of boarding to see if there were at least three no-shows, and then we would get their seats assigned to us. If everyone showed up, we wouldn't be able to fly. I didn't pay 100+ euro per ticket to not even be allowed on the plane because it's overbooked!  Ryanair is the worst possible experience.",,Couple Leisure,Economy Class,Brussels Charleroi,Alicante,September 2023,1.0,1.0,1.0,1.0,1.0,no,,
34,2023-09-10,1,Spain,Trip Verified,"""They set more traps for you than ever""","They set more traps for you than ever, in the end you pay more in the worst conditions: 1) You pay for a 10kg suitcase but it is not clear that you have to check it in and then you pay a €45 penalty to have it taken down to the hold. 2) Check-in at the window with commission! 3) The staff (employee number 509566) is not there to help you but to annoy you even more. Not only does he treat you badly, but he also tries to penalize you even more. 4) During the entire flight they use the public address system for advertising, ridiculous. 5) All the landings are horrible, it seems like they do it on purpose. 6) They break your suitcase. Not recommended unless there is no alternative.",Boeing 347,Couple Leisure,Economy Class,Madrid,Tanger,September 2023,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
35,2023-09-07,1,United States,Not Verified,"""Horrible communication""","We booked this flight because it was cheap and was supposed to get us to Bristol with 3 hours to spare for our connecting. In Beziers, all passengers were stuck for 5 hours in a hot, poorly air conditioned waiting room. No information was provided on departure, just delayed. Found out that Ryanair doesn't have a single employee at this airport, not 1. Finally the flight left and landed late night at Bristol, 2 hours after our connecting flight departed. We filed claims for rebooking our connecting flight, the hotel that we were charged at the other end (24 hour no cancel policy) and the hotel in Bristol that we had to take. Ryanair only paid for the connecting flight rebooking. We are out of pocket over $600. They admit it was a mechanical problem with the plane that was fixed well in time for the light to leave on time but they had no maintenance staff at the airport to sign off on the minor repair. They had to fly in a maintenance person to sign off on it. 5 hours later we left. Horrible, horrible airline. Horrible communication. I called their customer service line (which is was difficult to even find) and they charged my credit card $50 just to take the call!",,Couple Leisure,Economy Class,"Beziers, France","Bristol, UK",July 2023,1.0,2.0,,1.0,1.0,no,,
36,2023-09-04,4,United Kingdom,Trip Verified,"""Ryanair did the job""","I bought the ticket literally at the last minute, and it was very expensive. Crew were efficient; some were friendlier than others. On such a short flight (one hour) I just want to get from A to B safely and on time, and Ryanair did the job.",Boeing 737-800,Solo Leisure,Economy Class,Hahn,Stansted,September 2023,2.0,3.0,,3.0,1.0,yes,,
37,2023-08-29,1,United Kingdom,Trip Verified,"""Ryanair changes their rules as they wish""","The Ryanair app would not recognise my reservation. At Knock Airport, I was asked to show evidence otherwise that the app would not allow me to do the check in, otherwise I would have to pay a €110 fee. Evidence shown, then told 3rd party booking that's why it doesn't allow the log in. Which part of: I cannot log in as Ryanair do these people not understand. The manager was the worst! No understanding, patience, nor sympathetic that I had 3 children under 5 yo with me and the check in for all of them was done save for mine and my father’s check in. She made me pay the €110.00 even after showing the evidence. Ryanair changes their rules as they wish and they will not care about this review as they are making enough money off of all us continuing to book with them!",,Family Leisure,Economy Class,Knock,Luton,August 2023,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
38,2023-08-24,1,United Arab Emirates,Trip Verified,Ryanair customer review,"Being relatively cheap doesn't entitle them to be disrespectful. At 19h already Google suggested the flight might be delayed as the previous flight was over 1h late yet they never bothered saying it was late-  even past take-off time. People queuing and waiting all over the gate, but they don't care or bother to say their flight is late so they're perfectly comfortable wasting people's time and keeping them at the gate for no reason without information. So unprofessional and clearly there's not enough competition if they can get away with this kind of behavior and stay in business.",,Couple Leisure,Economy Class,Malaga,Lisbon,August 2023,1.0,1.0,,1.0,1.0,no,,
39,2023-08-22,1,Czech Republic,Trip Verified,"""we had to pay an additional 46EUR""","We experienced a very unpleasant conflict during the boarding process in Burgas, flight FR3705. Despite having no issues at check-in, we checked in our paid baggage and had four cabin bags for four passengers. However, we were forced to pay extra for a small suitcase because we were in the priority line after being called forward by the stewards. It was evident that they were struggling with the boarding process and thus opened both lines for everyone. After an unpleasant exchange of words, they took the suitcase from us and we had to pay an additional 46EUR, claiming that the suitcase wouldn't be allowed on board unless we paid. We eventually paid the money, received a tag, and the staff informed us that we would find the suitcase during check-in in Bratislava. None of this materialized. We were forced to paid 46EUR for a service that utterly failed. The way the stewards in Burgas communicated and coerced us was absolutely distasteful. While loading the rest of our baggage into the plane's storage area, the vast majority of suitcases similar in size to ours were accommodated without issue.",Boeing 737-800,Family Leisure,Economy Class,Burgas,Bratislava,August 2023,2.0,2.0,,1.0,3.0,no,,
40,2023-08-15,1,Canada,Not Verified,"""charged one of us 30€ to check-in""","We were a group of 5 travelling across Europe and we went with Ryanair for one of our flights. Turns out this was our first and our last flight with them. Their staff is cold and seem like they hate their job. They charged one of us 30€ to check-in one person. 30€ just to print a small piece of paper? On top of that, they charged me 50€ because my cabin bag didn't fit their testing tool, even though there was room for my bag to fit their over-head compartment. No other company charges 30€ for check-in in person nor both forces you to test the size of your cabin bag and makes you pay in front of everyone. To add to the injury, the inside of the plane is very old and basic: small leg room, seats don't recline, no entertainment.",,Family Leisure,Economy Class,Barcelona,Faro,August 2023,1.0,1.0,1.0,1.0,1.0,no,2.0,
41,2023-08-13,1,Greece,Not Verified,"""charged extra for a small bag""","First of all, my ticket was not low cost. Flights from Athens to Vilnius and back, costed 340 EUR. I was charged extra for a small bag, which I have taken with me in the plane in 15 different companies. Oh, and paying that when you only have a digital card is a nightmare. Very shady fees, and rude customer service.",,Solo Leisure,Economy Class,Athens,Vilnius,August 2023,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
